musicalId,genreId
1,10
1,3
1,20
2,7
2,14
3,7
3,10
3,20
4,11
4,20
5,22
6,7
7,7
7,24
7,3
8,7
9,7
9,20
9,23
9,3
10,7
11,10
11,20
11,3
12,14
12,6
12,20
13,10
13,5
14,7
14,16
15,7
15,20
16,7
16,18
16,20
16,1
17,7
17,24
18,7
18,20
18,23
19,14
19,20
19,1
20,7
20,10
20,20
20,3
21,10
21,1
21,20
22,10
23,7
24,11
25,7
25,14
25,15
26,10
26,15
26,3
26,20
26,12
27,7
27,19
28,10
28,20
28,23
29,7
29,20
30,11
30,20
31,7
31,19
32,8
32,18
32,3
33,7
33,3
33,24
34,11
34,3
34,20
34,24
35,11
35,4
35,3
35,20
35,24
36,11
36,1
36,27
36,5
36,20
36,24
37,7
37,1
38,7
38,14
38,6
38,20
39,7
39,20
39,24
40,7
41,22
42,7
42,20
42,24
43,7
43,15
44,10
44,1
44,20
45,10
45,20
46,7
47,7
47,24
48,15
48,6
49,7
50,11
50,5
50,20
51,23
52,1
52,26
53,10
53,20
54,14
54,15
54,20
54,13
55,7
55,15
55,3
56,7
56,24
57,10
58,10
58,20
59,7
59,1
60,7
60,10
60,3
61,7
61,10
61,20
62,24
63,10
63,20
63,23
64,7
64,14
64,20
65,10
65,1
66,7
66,3
67,7
67,14
67,20
68,7
68,20
68,3
69,7
69,1
70,7
70,14
70,20
70,23
71,7
71,20
71,19
72,10
72,1
72,20
73,7
73,24
74,7
74,1
74,24
75,10
75,15
75,23
75,1
75,13
76,7
76,20
76,23
77,7
77,4
77,19
77,20
78,10
78,1
78,20
79,10
79,20
80,10
80,1
80,20
81,10
81,3
81,18
82,7
82,20
82,3
83,7
83,15
83,1
83,27
84,7
84,14
84,15
84,1
84,3
85,10
85,1
85,20
86,7
86,20
87,7
87,1
87,27
87,6
87,21
88,7
88,15
88,3
88,1
89,7
89,15
89,1
89,6
89,13
89,20
90,11
90,19
91,23
91,22
92,10
93,7
93,10
93,23
94,7
95,7
95,24
96,7
96,23
96,3
97,7
97,20
97,23
98,14
98,20
98,23
98,1
99,7
99,20
100,7
100,20
100,23
101,7
101,15
101,4
101,3
101,20
102,10
102,20
102,1
103,10
103,1
103,3
103,20
104,7
104,23
104,3
105,7
105,20
106,7
106,20
106,23
107,7
107,1
108,7
108,14
108,15
108,20
108,1
108,3
109,10
109,20
109,23
109,3
110,7
110,12
111,15
111,18
111,20
111,1
112,10
112,20
113,10
114,7
114,14
114,15
114,6
114,3
115,7
115,20
115,23
116,11
117,10
117,5
117,20
118,7
118,19
118,24
119,10
120,10
121,10
121,14
121,20
121,3
122,10
122,20
122,3
123,10
123,20
124,7
124,10
124,14
124,20
124,21
125,7
125,24
126,7
126,10
126,20
127,7
127,24
128,11
128,20
129,7
129,20
129,3
130,11
130,1
131,7
131,1
132,10
132,20
133,8
133,13
133,20
133,24
134,10
134,23
135,11
135,3
136,7
136,20
137,7
137,14
137,3
138,7
138,14
139,10
139,1
139,5
140,11
140,5
140,20
141,7
141,20
141,19
141,24
