musicalId,musicalStyleId
1,6
2,8
2,17
2,9
3,6
4,8
5,6
5,17
5,11
5,10
6,17
7,6
8,6
9,8
9,11
9,9
10,8
11,6
11,7
12,6
13,8
14,6
15,6
16,6
17,6
18,6
18,7
19,8
20,6
21,7
22,6
23,17
23,1
24,17
24,1
25,6
26,7
27,6
27,15
28,8
28,17
28,4
28,9
28,5
29,15
30,6
30,7
30,13
31,8
31,17
31,9
31,5
32,8
32,17
32,10
32,5
33,8
33,9
34,6
35,6
35,8
36,6
36,17
36,12
37,6
38,6
39,6
39,11
39,13
40,6
41,6
41,8
42,6
43,15
44,7
44,8
45,6
46,6
46,8
47,6
47,15
48,7
49,17
50,6
51,8
51,17
52,8
52,10
52,17
53,15
53,17
53,2
54,6
55,8
55,9
56,6
56,13
57,6
57,7
58,8
58,16
58,19
59,6
59,11
59,8
60,8
60,17
60,4
60,9
61,17
61,10
62,6
62,17
62,19
63,8
63,11
64,6
65,8
65,10
65,5
66,8
66,17
66,9
67,6
67,15
68,6
69,6
69,15
69,13
70,6
71,6
71,1
71,13
72,6
73,6
74,17
74,8
74,9
74,5
75,6
75,13
76,7
77,6
77,11
78,6
78,7
78,13
79,8
79,1
80,6
80,7
80,13
81,17
81,8
81,4
81,9
82,6
83,17
83,8
84,8
85,6
85,4
86,6
86,15
87,6
87,17
88,6
89,6
89,13
90,6
90,15
91,8
92,8
93,6
94,6
94,7
95,6
96,8
96,17
96,1
97,6
98,8
98,7
99,6
100,6
100,13
101,6
101,15
101,7
102,6
102,11
102,14
103,6
103,13
104,8
105,17
105,3
106,6
107,6
108,6
109,8
109,17
109,9
110,8
111,8
112,17
112,1
113,17
113,15
114,8
115,6
115,13
116,17
117,8
117,16
118,6
119,6
120,8
121,8
121,17
121,4
122,6
122,7
122,13
123,6
123,15
123,8
124,6
125,6
125,13
126,6
126,13
127,6
127,8
127,9
127,17
128,6
128,7
128,8
129,15
130,6
131,6
131,13
132,6
132,11
132,8
133,6
133,17
134,6
135,8
135,17
135,4
135,9
136,15
136,17
136,1
137,8
137,9
138,8
139,6
139,17
139,8
140,6
141,6
141,7
142,6
142,13
143,6
144,6
145,6
146,6
146,14
146,17
146,2
147,6
147,15
148,6
148,13
149,8
150,6
151,6
152,17
152,1
153,17
153,10
154,8
155,6
155,15
156,6
156,17
156,8
157,6
157,13
158,6
158,13
159,17
159,15
159,12
159,8
159,10
160,17
160,2
161,8
161,17
161,1
162,6
163,17
163,11
163,9
164,17
165,6
165,13
166,6
166,13
167,17
167,4
167,9
168,6
169,6
169,13
170,6
171,6
171,15
171,7
172,8
172,7
173,6
174,14
174,15
174,7
175,6
176,6
177,6
178,6
179,17
179,2
180,8
181,6
182,17
183,8
183,9
184,8
184,9
184,18
184,17
185,8
185,17
186,6
187,6
187,13
188,15
188,11
188,12
189,8
189,7
190,15
190,8
191,6
192,6
192,7
193,17
193,10
194,8
194,9
194,5
195,17
196,17
196,8
196,2
197,8
198,6
198,17
198,7
199,6
200,6
201,6
202,7
203,8
203,17
203,4
203,9
204,6
204,7
204,13
205,6
205,13
206,6
207,19
207,6
208,8
209,6
210,15
211,6
212,8
212,14
213,8
213,9
214,6
215,6
216,6
216,13
217,7
217,13
218,6
218,17
218,1
219,8
220,6
221,6
221,15
221,13
222,8
222,7
223,8
223,17
224,8
225,6
225,15
226,6
227,17
227,8
227,9
228,6
229,6
229,8
230,6
231,8
232,6
233,8
233,17
233,3
234,6
234,16
235,6
236,7
237,6
238,6
239,8
240,6
240,13
241,6
242,8
242,9
243,6
243,8
244,6
245,6
246,8
247,17
247,10
248,6
248,13
249,6
250,7
251,6
252,8
253,17
253,12
253,7
253,9
253,8
254,7
255,6
256,6
256,8
257,8
257,10
258,6
259,6
259,15
260,6
261,6
261,7
262,6
263,8
264,6
265,6
265,15
266,6
267,6
268,6
268,11
268,17
269,6
269,11
269,13
270,6
270,13
271,6
272,6
273,6
273,15
273,13
274,6
275,6
275,15
276,17
276,10
276,12
277,6
278,6
278,13
279,8
280,6
280,13
281,7
282,6
283,6
283,11
283,13
284,6
284,15
284,13
285,6
286,8
287,6
287,8
288,6
288,13
289,8
290,6
290,13
291,6
291,17
291,3
292,6
292,13
293,8
293,10
293,5
294,6
295,6
295,17
295,1
296,17
296,11
297,6
297,15
298,6
299,6
299,11
299,8
299,7
300,6
301,6
302,6
302,13
303,8
303,9
303,5
304,17
304,10
304,5
305,17
305,1
306,6
307,7
307,6
308,17
308,4
309,8
309,9
310,6
310,17
310,7
311,6
312,6
312,13
313,6
313,13
314,6
314,13
315,17
315,8
315,9
316,6
317,17
317,12
317,8
317,10
318,6
319,6
319,11
320,6
321,17
321,1
322,6
322,7
323,8
324,6
325,8
326,6
326,13
327,6
328,8
328,14
328,17
328,3
329,6
330,11
331,15
331,8
331,1
332,6
333,6
334,6
335,6
336,8
337,7
338,8
339,6
339,13
340,6
340,17
340,8
340,9
341,17
341,10
342,17
342,8
343,8
344,6
345,17
345,4
346,6
347,6
348,6
349,8
350,6
351,6
352,6
353,8
353,17
353,4
353,9
353,5
354,8
355,6
355,13
356,12
356,7
357,8
358,6
359,6
360,12
360,8
361,8
362,17
362,8
362,7
363,6
363,11
364,6
365,6
365,15
366,8
366,7
366,11
367,8
367,11
367,14
368,7
369,6
370,8
371,6
371,13
372,6
373,8
373,17
373,9
373,5
374,7
375,6
376,6
376,7
377,17
377,12
378,6
379,6
380,6
380,7
380,13
381,8
382,17
383,2
383,17
384,6
384,7
384,8
385,6
386,6
387,8
388,7
389,7
390,6
390,7
390,13
391,6
391,13
392,6
393,7
394,6
394,13
395,6
395,17
396,6
396,17
396,15
396,11
396,12
397,7
398,7
399,6
400,6
401,6
402,7
403,6
403,15
404,6
405,17
405,2
406,17
406,8
407,8
407,14
407,15
408,6
409,6
410,6
410,13
411,12
411,11
412,8
413,7
414,8
415,6
415,15
415,8
416,8
417,8
418,17
418,4
418,10
419,6
419,11
419,13
420,17
420,8
421,17
421,2
422,15
422,11
422,8
423,8
424,6
425,17
425,15
425,3
426,6
426,8
427,6
428,6
428,3
429,8
429,10
430,6
431,8
431,17
432,6
433,8
433,10
433,5
434,6
435,6
435,7
436,8
437,6
437,13
438,6
439,17
439,12
439,8
440,8
441,17
441,2
442,17
442,8
443,8
444,17
444,9
445,6
445,15
446,8
446,11
446,14
447,8
447,11
447,9
448,6
448,7
449,8
449,9
450,8
450,5
451,6
451,13
452,6
453,6
454,6
454,13
455,17
455,11
455,8
456,6
456,7
457,6
458,8
458,9
458,16
459,6
459,15
459,13
460,17
460,3
461,6
462,6
463,17
463,2
464,6
464,17
464,1
465,6
465,19
